id_unidade;Nome_Fantasia;SUS;Coord
2097605;HOSPITAL IELAR;S;-20.813083665559624, -49.391775413159756
2793334;ESPACO SAUDE UNIDADE INFANTIL;N;-20.848406793597228, -49.394110270731204
3404838;PALMEGIANI ROMANIA SERVICOS MEDICOS LTDA;N;-20.822211454831727, -49.36430835367201
6271146;CENTRO DE HEMATOLOGIA E PSIQUIATRIA;N;-20.816185507091223, -49.3959356533212
2073048;INSTITUTO DO CORACAO RIO PRETO;N;-20.84754360710039, -49.39313207378478
6668054;UNIDADE DE VACINACAO UNIMED;N;-20.820765198544102, -49.38702938290055
2823454;CAPS INFANTIL NORTE;S;-20.767569852080204, -49.37872060198469
7408692;POSTO DE COLETA LABORATORIO TAJARA SANTA HELENA;N;-20.771470505080945, -49.38619026475735
2093537;HEMOCENTRO SAO JOSE DO RIO PRETO;S;-20.82736243630628, -49.400117546532144
5982081;AMBULATORIO MUNICIPAL DE HEPATITES VIRAIS;S;-20.817964259000295, -49.38484190546121
6056148;AME AMBULATORIO MED DE ESPECIALIDADES DE S J DO RIO PRETO;S;-20.806722916304338, -49.35948425460822
6908233;LABORATORIO DE TUBERCULOSE E HANSENIASE;S;-20.818688703851798, -49.38087934168525
7236220;A G O SERVICOS MEDICOS LTDA;N;-20.845139299956017, -49.401183387220165
7694695;CEO NORTE SAO JOSE DO RIO PRETO;S;-20.77990811172642, -49.409695961878256
2793288;AGENCIA TRANSFUSIONAL DO HOSPITAL SANTA HELENA SJ RIO PRETO;N;-20.816181237803118, -49.38436194653226
7191766;CLINICA DE ENDOSCOPIA DIGESTIVA SANTA HELENA FILIAL;N;-20.820001333784067, -49.38440276653361
2097133;CTACOAS CENTRO DE TESTAGEM E ACONSELHAMENTO EM DSTAIDS;S;-20.79948856229855, -49.378464244631374
2059762;CENTRO MEDICINA DE REABILITACAO E TRAT DA DOR SJRPRETO;N;-20.806066352512563, -49.37539365783425
2793342;ULTRA X FILIAL HOSPITAL AUSTA SAO JOSE DO RIO PRETO;N;-20.822074079175096, -49.36449656791095
5505860;LABORATORIO MUNICIPAL DE PATOLOGIA CLINICA;S;-20.79787145105346, -49.37754050420526
3220168;CENTRO MEDICO PRO INFANCIA;N;-20.830991108290284, -49.39854181769567
3179613;UBS CONTINENTAL;S;-23.43282011491518, -46.549756661787384
2695111;UNIDADE DE PRONTO ATENDIMENTO PAMPULHA;S;-19.870535331135844, -44.00110160423501
7408714;POSTO DE COLETA DR TAJARA INSTITUTO PRO CARDIACO;N;-20.8262799086075, -49.39245434653216
2758261;CDA NAOUM CENTRO DIAGNOSTICO DE ANEMIAS SJRPRETO;N;-20.827066719472374, -49.3958310564119
7341091;UNIDADE ONCOLOGICA HB SAUDE;N;-20.828138968668878, -49.39758976276931
2096889;CRECHE AMOR PARQUE INDUSTRIAL;S;-20.806348750372404, -49.39545490208484
3177092;HIORP HOSPITAL INSTITUTO DE OTORRINO RIO PRETO;N;-20.844713180750528, -49.393208871364806
3573249;CAPS INFANTIL CENTRO;S;-20.815455958134358, -49.3752449904248
9755144;ULTRAX UNIDADE BOA VISTA;N;-20.802843792578795, -49.387704390713665
2096765;CENTRO MEDICO DE ESPECIALIDADES;S;-20.826716780764055, -49.38637618885984
7172060;CENTRO DE REGULACAO DRS XV S J ;S;-20.828739536262262, -49.42319957453864
2044374;BETEL MOVIMENTO DE RECUPERACAO DE TOXICOMANOS SJRPRETO;N;-20.811764684181213, -49.366638530273505
2705028;ASSOCIACAO RENASCER SAO JOSE DO RIO PRETO;S;-20.83192196496052, -49.34783935875853
2097648;HOSPITAL BEZERRA DE MENEZES;S;-20.793659910802155, -49.38092310420544
7936982;TOMOGRAFIA CENTRO DO CEREBRO E COLUNA HOSPITAL AUSTA;N;-20.822927121104872, -49.36502873304065
2705427;LABORATORIO IMEDI;N;-20.803801041683492, -49.38665984372162
3017745;NUCLEO DE DIAGNOSTICO E HOSPITAL DIA;S;-20.799823980784392, -49.377967775369065
3535770;CM CLINICA MEDICA;N;-20.82221458076747, -49.364312575368416
5072182;ESPACO SAUDE;N;-20.818816393583212, -49.38553967556166
7010028;CENTRO DE ATENDIMENTO ESPECIALIZADO NA SAUDE DA MULHER;S;-20.79698198078654, -49.37753949071395
7343256;CAPS AD III ENGENHEIRO SCHMITT;S;-20.871716030022135, -49.30810671082317
0518743;CLAYTON LUIS DE AVILA;N;-20.86707431628132, -49.413902219843955
0405531;CLINICA DE RECUPERACAO NOVA ESPERANCA;N;-20.874853278489574, -49.347784712020456
9147438;DR PARA TODOS;N;-20.8129980312491, -49.38600198117539
0756350;UNIDADE AIR;N;-20.842490673652204, -49.401997756758576
9337903;BRUNO HERNANDES PEREIRA;N;-20.811839338384157, -49.391798661877246
0911305;UNIMED SAO JOSE DO RIO PRETO PLAZA;N;-20.827200427046257, -49.38639933564085
6364152;CASF SANTO ANTONIO;S;-20.74075682621071, -49.40996396167785
0962511;ABC CENTRO DE ESTUDO E INTERVENCAO COMPORTAMENTAL;N;-20.823343789773016, -49.40842657314686
9896163;POSTO DE COLETA LABORATORIO TAJARA CIDADE NORTE;N;-20.7714580437829, -49.3862157330424
9003576;ACADEMIA DA SAUDE RIO PRETO;S;-20.845285717147203, -49.34597304053633
9661360;HEMAT CLINICA MEDICA;N;-20.81839918077041, -49.38737287536855
7294336;CIRURGIA PLASTICA CANTARELLI;N;-20.83292499856167, -49.4010343907128
4455894;CENTRO MEDICO DE ESPECIALIDADES REGIAO NORTE;S;-20.761480030964105, -49.39414074664125
4454421;ADRIANA SOLDA RODINO;N;-20.82697713275155, -49.389313651765335
4792467;UNIMEDI RIO PRETO LABORATORIO;N;-20.82066402684697, -49.38699158886
2793318;;;
